"ID","Question","Category","Response","Keywords","Examples","Date","Status"
"26","""How can I request time off?""","""Employee Benefits""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Update personal information,Employee portal,Profile section""","""What is annual leave?""","""2021-12-10""","""VALIDATE"""
"27","""What is the procedure for performance reviews?""","""Workplace Harassment""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Update personal information,Employee portal,Profile section""","""How do I report harassment?""","""2024-02-19""","""TEST"""
"28","""What is the process for reporting workplace harassment?""","""Employee Benefits""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""What is annual leave?""","""2020-09-06""","""TEST"""
"29","""What is the company's leave policy?""","""Employee Benefits""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""IT support,Helpdesk,Contact IT""","""Where can I find my pay stubs online?""","""2022-07-18""","""TRAIN"""
"30","""What is the company's policy on remote work?""","""Personal Information""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Employee benefits,Health insurance,Retirement plans""","""When are performance reviews held?""","""2022-02-28""","""TRAIN"""
"31","""How do I request a copy of my employment verification?""","""Employment Verification""","""To request an employment verification letter, please contact HR with your request.""","""Pay stubs,Employee portal,Payroll section""","""Can I work from home?""","""2021-08-17""","""VALIDATE"""
"32","""How can I request time off?""","""Leave Policy""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Workplace harassment,HR reporting,Email report""","""How do I change my address in the system?""","""2023-11-24""","""TEST"""
"33","""What is the company's leave policy?""","""Employment Verification""","""To request an employment verification letter, please contact HR with your request.""","""Update personal information,Employee portal,Profile section""","""What are the employee perks?""","""2021-11-10""","""TRAIN"""
"34","""What is the company's policy on remote work?""","""Performance Reviews""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How do I get IT help?""","""2024-04-10""","""TRAIN"""
"35","""What is the company's leave policy?""","""IT Support""","""To request time off, please submit a leave request form through the employee portal.""","""Employment verification,HR request,Employment letter""","""Can I work from home?""","""2023-12-20""","""VALIDATE"""
"36","""How do I request a copy of my employment verification?""","""Employee Benefits""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How can I get an employment verification letter?""","""2020-11-21""","""VALIDATE"""
"37","""What is the company's leave policy?""","""Workplace Harassment""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""What is annual leave?""","""2022-03-03""","""VALIDATE"""
"38","""What benefits does the company offer?""","""Leave Policy""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Update personal information,Employee portal,Profile section""","""How can I get an employment verification letter?""","""2021-09-17""","""TEST"""
"39","""How can I update my personal information?""","""Remote Work""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Performance reviews,Annual review,HR procedures""","""How do I report harassment?""","""2024-04-03""","""TRAIN"""
"40","""What is the company's policy on remote work?""","""Workplace Harassment""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Employee benefits,Health insurance,Retirement plans""","""How do I get IT help?""","""2024-01-22""","""TEST"""
"41","""How can I request time off?""","""Performance Reviews""","""To request an employment verification letter, please contact HR with your request.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""What are the employee perks?""","""2022-11-29""","""TEST"""
"42","""What is the company's policy on remote work?""","""Remote Work""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Request time off,Leave request form,Employee portal""","""How do I get IT help?""","""2023-05-19""","""VALIDATE"""
"43","""What is the company's leave policy?""","""Employment Verification""","""You can access your pay stubs through the payroll section of the employee portal.""","""Employee benefits,Health insurance,Retirement plans""","""When are performance reviews held?""","""2020-03-21""","""TRAIN"""
"44","""What is the process for reporting workplace harassment?""","""Leave Policy""","""To request time off, please submit a leave request form through the employee portal.""","""Request time off,Leave request form,Employee portal""","""When are performance reviews held?""","""2021-09-05""","""TRAIN"""
"45","""What is the procedure for performance reviews?""","""Workplace Harassment""","""To request time off, please submit a leave request form through the employee portal.""","""Pay stubs,Employee portal,Payroll section""","""Can I work from home?""","""2021-01-15""","""VALIDATE"""
"46","""How do I request a copy of my employment verification?""","""Employee Benefits""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""IT support,Helpdesk,Contact IT""","""Where can I find my pay stubs online?""","""2024-04-19""","""TRAIN"""
"47","""How do I request a copy of my employment verification?""","""Leave Request""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Remote work,Eligibility,Manager consultation""","""What is annual leave?""","""2024-03-18""","""VALIDATE"""
"48","""How can I update my personal information?""","""Leave Policy""","""To request an employment verification letter, please contact HR with your request.""","""IT support,Helpdesk,Contact IT""","""How do I change my address in the system?""","""2022-11-22""","""TRAIN"""
"49","""Who should I contact for IT support?""","""Leave Request""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Remote work,Eligibility,Manager consultation""","""How do I get IT help?""","""2020-01-16""","""VALIDATE"""
"50","""How can I request time off?""","""Leave Policy""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Workplace harassment,HR reporting,Email report""","""What are the employee perks?""","""2020-11-10""","""VALIDATE"""
"51","""How can I update my personal information?""","""Workplace Harassment""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""What are the employee perks?""","""2020-09-16""","""TEST"""
"52","""What is the company's leave policy?""","""Leave Policy""","""You can access your pay stubs through the payroll section of the employee portal.""","""IT support,Helpdesk,Contact IT""","""How do I report harassment?""","""2020-07-14""","""VALIDATE"""
"53","""How do I request a copy of my employment verification?""","""Workplace Harassment""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Update personal information,Employee portal,Profile section""","""When are performance reviews held?""","""2023-08-13""","""VALIDATE"""
"54","""How can I update my personal information?""","""Leave Request""","""To request an employment verification letter, please contact HR with your request.""","""Workplace harassment,HR reporting,Email report""","""How do I submit a leave request?""","""2024-02-27""","""TRAIN"""
"55","""What is the company's leave policy?""","""Leave Policy""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Request time off,Leave request form,Employee portal""","""Can I work from home?""","""2021-10-07""","""VALIDATE"""
"56","""What is the company's policy on remote work?""","""Employment Verification""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Pay stubs,Employee portal,Payroll section""","""When are performance reviews held?""","""2021-04-02""","""TRAIN"""
"57","""How can I request time off?""","""Employment Verification""","""You can access your pay stubs through the payroll section of the employee portal.""","""IT support,Helpdesk,Contact IT""","""How do I change my address in the system?""","""2024-03-28""","""TRAIN"""
"58","""How can I update my personal information?""","""Leave Policy""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Pay stubs,Employee portal,Payroll section""","""What is annual leave?""","""2020-06-09""","""TEST"""
"59","""Who should I contact for IT support?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Remote work,Eligibility,Manager consultation""","""What are the employee perks?""","""2022-03-08""","""TRAIN"""
"60","""How can I request time off?""","""Workplace Harassment""","""You can access your pay stubs through the payroll section of the employee portal.""","""Pay stubs,Employee portal,Payroll section""","""Where can I find my pay stubs online?""","""2022-06-29""","""TEST"""
"61","""What is the company's policy on remote work?""","""Performance Reviews""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How do I change my address in the system?""","""2023-02-01""","""VALIDATE"""
"62","""What is the company's policy on remote work?""","""IT Support""","""To request an employment verification letter, please contact HR with your request.""","""Remote work,Eligibility,Manager consultation""","""How do I change my address in the system?""","""2022-01-19""","""TRAIN"""
"63","""What is the company's leave policy?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""What are the employee perks?""","""2023-07-24""","""TRAIN"""
"64","""What is the company's policy on remote work?""","""Pay Stubs""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Performance reviews,Annual review,HR procedures""","""Can I work from home?""","""2021-07-24""","""TRAIN"""
"65","""What benefits does the company offer?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employment verification,HR request,Employment letter""","""How do I report harassment?""","""2020-07-02""","""TEST"""
"66","""What is the procedure for performance reviews?""","""Employment Verification""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Pay stubs,Employee portal,Payroll section""","""How do I submit a leave request?""","""2023-08-12""","""VALIDATE"""
"67","""What benefits does the company offer?""","""Performance Reviews""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Request time off,Leave request form,Employee portal""","""What is annual leave?""","""2023-10-14""","""TRAIN"""
"68","""How can I request time off?""","""Leave Request""","""To request an employment verification letter, please contact HR with your request.""","""IT support,Helpdesk,Contact IT""","""What are the employee perks?""","""2021-08-02""","""TEST"""
"69","""How do I request a copy of my employment verification?""","""Leave Request""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Workplace harassment,HR reporting,Email report""","""When are performance reviews held?""","""2022-01-30""","""VALIDATE"""
"70","""What is the procedure for performance reviews?""","""Employee Benefits""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Remote work,Eligibility,Manager consultation""","""When are performance reviews held?""","""2020-10-29""","""TRAIN"""
"71","""How do I request a copy of my employment verification?""","""Leave Request""","""To request an employment verification letter, please contact HR with your request.""","""Performance reviews,Annual review,HR procedures""","""What are the employee perks?""","""2022-02-09""","""TRAIN"""
"72","""How do I request a copy of my employment verification?""","""Performance Reviews""","""You can access your pay stubs through the payroll section of the employee portal.""","""IT support,Helpdesk,Contact IT""","""How can I get an employment verification letter?""","""2022-12-28""","""TRAIN"""
"73","""What is the company's policy on remote work?""","""Workplace Harassment""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Workplace harassment,HR reporting,Email report""","""Can I work from home?""","""2021-02-27""","""VALIDATE"""
"74","""What is the company's leave policy?""","""Pay Stubs""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employment verification,HR request,Employment letter""","""How can I get an employment verification letter?""","""2022-12-28""","""TRAIN"""
"75","""How can I request time off?""","""Personal Information""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Remote work,Eligibility,Manager consultation""","""Can I work from home?""","""2021-02-03""","""TEST"""
"76","""How do I request a copy of my employment verification?""","""Pay Stubs""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Employment verification,HR request,Employment letter""","""When are performance reviews held?""","""2022-03-19""","""VALIDATE"""
"77","""What is the company's leave policy?""","""Remote Work""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Workplace harassment,HR reporting,Email report""","""How do I change my address in the system?""","""2020-08-08""","""TRAIN"""
"78","""Who should I contact for IT support?""","""Pay Stubs""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Request time off,Leave request form,Employee portal""","""When are performance reviews held?""","""2020-03-16""","""TEST"""
"79","""What is the company's leave policy?""","""Remote Work""","""To request an employment verification letter, please contact HR with your request.""","""Employee benefits,Health insurance,Retirement plans""","""How do I get IT help?""","""2020-05-18""","""VALIDATE"""
"80","""What is the company's policy on remote work?""","""Leave Policy""","""To request an employment verification letter, please contact HR with your request.""","""Request time off,Leave request form,Employee portal""","""How do I submit a leave request?""","""2024-07-12""","""TEST"""
"81","""How do I access my pay stubs?""","""IT Support""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Pay stubs,Employee portal,Payroll section""","""How do I get IT help?""","""2023-11-09""","""TRAIN"""
"82","""Who should I contact for IT support?""","""Employee Benefits""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employment verification,HR request,Employment letter""","""How do I change my address in the system?""","""2021-12-24""","""VALIDATE"""
"83","""What is the company's leave policy?""","""Leave Request""","""To request an employment verification letter, please contact HR with your request.""","""Performance reviews,Annual review,HR procedures""","""When are performance reviews held?""","""2021-06-10""","""TEST"""
"84","""What is the company's policy on remote work?""","""Leave Policy""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employment verification,HR request,Employment letter""","""What is annual leave?""","""2022-12-24""","""VALIDATE"""
"85","""Who should I contact for IT support?""","""Employee Benefits""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Update personal information,Employee portal,Profile section""","""How do I change my address in the system?""","""2022-03-01""","""TRAIN"""
"86","""What is the process for reporting workplace harassment?""","""IT Support""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Pay stubs,Employee portal,Payroll section""","""How do I change my address in the system?""","""2022-12-28""","""TRAIN"""
"87","""Who should I contact for IT support?""","""IT Support""","""To request an employment verification letter, please contact HR with your request.""","""Update personal information,Employee portal,Profile section""","""How do I change my address in the system?""","""2020-03-30""","""VALIDATE"""
"88","""How do I access my pay stubs?""","""Personal Information""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""IT support,Helpdesk,Contact IT""","""How can I get an employment verification letter?""","""2021-01-04""","""TEST"""
"89","""What is the company's leave policy?""","""Employee Benefits""","""To request an employment verification letter, please contact HR with your request.""","""Request time off,Leave request form,Employee portal""","""Can I work from home?""","""2022-12-21""","""TRAIN"""
"90","""How can I update my personal information?""","""Workplace Harassment""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Request time off,Leave request form,Employee portal""","""How do I report harassment?""","""2024-07-11""","""TEST"""
"91","""What benefits does the company offer?""","""IT Support""","""Our company offers health insurance, retirement plans, and various employee perks.""","""IT support,Helpdesk,Contact IT""","""What is annual leave?""","""2020-10-09""","""TRAIN"""
"92","""Who should I contact for IT support?""","""Personal Information""","""To request an employment verification letter, please contact HR with your request.""","""Update personal information,Employee portal,Profile section""","""When are performance reviews held?""","""2021-02-04""","""TEST"""
"93","""What is the process for reporting workplace harassment?""","""Pay Stubs""","""To request time off, please submit a leave request form through the employee portal.""","""Employment verification,HR request,Employment letter""","""When are performance reviews held?""","""2021-03-28""","""TRAIN"""
"94","""Who should I contact for IT support?""","""IT Support""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Remote work,Eligibility,Manager consultation""","""How can I get an employment verification letter?""","""2024-05-15""","""TRAIN"""
"95","""How can I request time off?""","""Leave Request""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Remote work,Eligibility,Manager consultation""","""Where can I find my pay stubs online?""","""2020-06-08""","""TEST"""
"96","""What is the company's leave policy?""","""Employee Benefits""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Performance reviews,Annual review,HR procedures""","""What are the employee perks?""","""2023-07-03""","""TEST"""
"97","""How can I update my personal information?""","""Performance Reviews""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""IT support,Helpdesk,Contact IT""","""How can I get an employment verification letter?""","""2024-07-02""","""TEST"""
"98","""What is the procedure for performance reviews?""","""Personal Information""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Remote work,Eligibility,Manager consultation""","""How do I submit a leave request?""","""2022-04-16""","""TEST"""
"99","""What is the process for reporting workplace harassment?""","""Employee Benefits""","""You can access your pay stubs through the payroll section of the employee portal.""","""IT support,Helpdesk,Contact IT""","""How do I submit a leave request?""","""2024-04-13""","""TEST"""
"100","""What is the company's leave policy?""","""Personal Information""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Remote work,Eligibility,Manager consultation""","""What are the employee perks?""","""2022-11-16""","""VALIDATE"""
"101","""How do I request a copy of my employment verification?""","""Pay Stubs""","""To request an employment verification letter, please contact HR with your request.""","""Remote work,Eligibility,Manager consultation""","""What are the employee perks?""","""2020-06-24""","""TEST"""
"102","""How can I request time off?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""When are performance reviews held?""","""2022-09-18""","""TRAIN"""
"103","""Who should I contact for IT support?""","""Leave Request""","""To request an employment verification letter, please contact HR with your request.""","""Employee benefits,Health insurance,Retirement plans""","""What are the employee perks?""","""2023-06-20""","""TRAIN"""
"104","""How do I request a copy of my employment verification?""","""Employment Verification""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Employee benefits,Health insurance,Retirement plans""","""Where can I find my pay stubs online?""","""2020-07-05""","""VALIDATE"""
"105","""What is the company's leave policy?""","""Leave Request""","""To request an employment verification letter, please contact HR with your request.""","""Employee benefits,Health insurance,Retirement plans""","""How do I submit a leave request?""","""2023-11-03""","""TRAIN"""
"106","""How can I request time off?""","""Personal Information""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""What is annual leave?""","""2024-02-20""","""TEST"""
"107","""What is the process for reporting workplace harassment?""","""Employee Benefits""","""To request an employment verification letter, please contact HR with your request.""","""Pay stubs,Employee portal,Payroll section""","""When are performance reviews held?""","""2023-04-13""","""TEST"""
"108","""What is the company's leave policy?""","""Employee Benefits""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Performance reviews,Annual review,HR procedures""","""How do I get IT help?""","""2024-03-04""","""TEST"""
"109","""How can I update my personal information?""","""IT Support""","""You can access your pay stubs through the payroll section of the employee portal.""","""IT support,Helpdesk,Contact IT""","""How do I submit a leave request?""","""2024-05-23""","""TEST"""
"110","""How do I request a copy of my employment verification?""","""Personal Information""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Pay stubs,Employee portal,Payroll section""","""How do I submit a leave request?""","""2020-11-28""","""TRAIN"""
"111","""How do I request a copy of my employment verification?""","""Leave Request""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""IT support,Helpdesk,Contact IT""","""Where can I find my pay stubs online?""","""2021-05-17""","""TEST"""
"112","""What is the company's policy on remote work?""","""Leave Policy""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Leave policy,Annual leave,Sick leave,Parental leave""","""How do I submit a leave request?""","""2022-07-27""","""VALIDATE"""
"113","""How can I request time off?""","""Employment Verification""","""You can access your pay stubs through the payroll section of the employee portal.""","""Remote work,Eligibility,Manager consultation""","""How do I get IT help?""","""2024-06-02""","""VALIDATE"""
"114","""What is the procedure for performance reviews?""","""IT Support""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Update personal information,Employee portal,Profile section""","""What are the employee perks?""","""2022-09-01""","""VALIDATE"""
"115","""What is the company's leave policy?""","""Workplace Harassment""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Employment verification,HR request,Employment letter""","""How do I change my address in the system?""","""2023-09-26""","""TRAIN"""
"116","""What is the company's leave policy?""","""Workplace Harassment""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""Update personal information,Employee portal,Profile section""","""How do I change my address in the system?""","""2021-12-02""","""TRAIN"""
"117","""How do I request a copy of my employment verification?""","""Employment Verification""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Employee benefits,Health insurance,Retirement plans""","""How do I change my address in the system?""","""2023-10-06""","""TRAIN"""
"118","""How do I access my pay stubs?""","""Personal Information""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Employment verification,HR request,Employment letter""","""How do I change my address in the system?""","""2023-07-06""","""TRAIN"""
"119","""What is the procedure for performance reviews?""","""Personal Information""","""To request time off, please submit a leave request form through the employee portal.""","""IT support,Helpdesk,Contact IT""","""How can I get an employment verification letter?""","""2024-04-12""","""TRAIN"""
"120","""Who should I contact for IT support?""","""Employment Verification""","""To request an employment verification letter, please contact HR with your request.""","""Update personal information,Employee portal,Profile section""","""How do I submit a leave request?""","""2023-02-04""","""TRAIN"""
"121","""How do I request a copy of my employment verification?""","""Workplace Harassment""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Request time off,Leave request form,Employee portal""","""How do I change my address in the system?""","""2024-03-16""","""VALIDATE"""
"122","""How do I access my pay stubs?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Performance reviews,Annual review,HR procedures""","""When are performance reviews held?""","""2023-11-13""","""TRAIN"""
"123","""What benefits does the company offer?""","""Leave Policy""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Workplace harassment,HR reporting,Email report""","""What is annual leave?""","""2023-03-18""","""TRAIN"""
"124","""Who should I contact for IT support?""","""Leave Request""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Workplace harassment,HR reporting,Email report""","""How do I report harassment?""","""2021-09-23""","""VALIDATE"""
"125","""How do I access my pay stubs?""","""Workplace Harassment""","""Our company allows remote work for eligible positions. Please consult with your manager to see if you qualify.""","""Employee benefits,Health insurance,Retirement plans""","""Can I work from home?""","""2024-06-08""","""TEST"""
"126","""How do I access my pay stubs?""","""Performance Reviews""","""Our company offers various types of leave including annual leave, sick leave, and parental leave.""","""Update personal information,Employee portal,Profile section""","""Where can I find my pay stubs online?""","""2020-05-04""","""TRAIN"""
"127","""How can I request time off?""","""Leave Policy""","""Report any incidents of workplace harassment to HR immediately. You can do so via email or in person.""","""Request time off,Leave request form,Employee portal""","""When are performance reviews held?""","""2020-01-27""","""VALIDATE"""
"128","""How can I update my personal information?""","""Employment Verification""","""For IT support, please contact the IT helpdesk via email at support@company.com.""","""IT support,Helpdesk,Contact IT""","""What are the employee perks?""","""2023-08-27""","""TEST"""
"129","""What benefits does the company offer?""","""Leave Policy""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""Employee benefits,Health insurance,Retirement plans""","""How do I get IT help?""","""2022-08-16""","""TEST"""
"130","""How can I update my personal information?""","""Personal Information""","""Performance reviews are conducted annually. Please check with HR for specific dates and procedures.""","""IT support,Helpdesk,Contact IT""","""How do I change my address in the system?""","""2021-07-05""","""TRAIN"""
"131","""How can I update my personal information?""","""Performance Reviews""","""Our company offers health insurance, retirement plans, and various employee perks.""","""IT support,Helpdesk,Contact IT""","""How do I report harassment?""","""2023-12-13""","""TRAIN"""
"132","""What benefits does the company offer?""","""Workplace Harassment""","""You can update your personal information by logging into the employee portal and navigating to the profile section.""","""Employee benefits,Health insurance,Retirement plans""","""How do I submit a leave request?""","""2024-03-18""","""TEST"""
"133","""What benefits does the company offer?""","""Personal Information""","""Our company offers health insurance, retirement plans, and various employee perks.""","""Request time off,Leave request form,Employee portal""","""How can I get an employment verification letter?""","""2023-03-10""","""TEST"""
"134","""What is the procedure for performance reviews?""","""IT Support""","""You can access your pay stubs through the payroll section of the employee portal.""","""Workplace harassment,HR reporting,Email report""","""What is annual leave?""","""2022-01-17""","""TEST"""
